Instance 1
capacity,1581
n,200
weight,value,count
96,287,42
30,70,21
40,28,19
14,127,46
80,79,0
100,180,20
36,126,37
24,215,43
16,187,20
44,222,8
46,9,19
79,98,16
2,45,34
63,126,44
27,190,20
11,274,13
25,223,38
90,29,50
69,199,17
44,181,7
70,230,5
5,56,15
35,55,17
88,99,7
18,13,42
79,261,0
20,125,12
76,236,19
85,276,47
76,199,35
88,17,26
26,259,21
84,193,33
75,151,20
92,53,12
94,13,36
71,60,30
91,67,47
17,145,15
44,210,5
89,138,13
43,248,47
2,219,42
60,108,1
46,145,36
92,284,10
84,35,1
85,129,29
66,267,8
14,114,46
80,287,38
28,40,8
67,140,35
61,15,33
96,173,34
73,107,50
27,289,41
14,155,34
12,203,46
1,160,47
59,71,17
71,281,36
14,1,13
53,63,17
74,249,46
94,191,28
65,274,48
69,125,15
86,1,15
21,2,9
74,247,33
4,117,34
56,84,17
49,257,24
10,272,14
2,136,36
5,194,44
4,162,5
61,295,34
39,140,7
77,154,37
5,292,20
71,25,16
1,249,15
27,153,39
52,100,50
60,199,12
70,151,11
42,115,20
44,153,49
2,64,1
97,131,23
97,59,5
65,55,15
38,66,21
13,145,44
71,291,7
39,164,14
69,293,37
95,113,6
71,12,19
93,120,2
28,96,27
57,245,13
69,285,41
63,199,27
40,80,23
88,160,24
87,197,41
66,145,20
98,38,19
30,21,12
73,255,15
13,243,15
29,205,31
87,284,40
81,39,0
95,108,0
34,272,4
66,249,25
39,188,16
33,194,12
81,156,42
80,257,6
7,76,40
21,95,14
40,176,47
47,67,0
31,93,16
81,83,40
22,205,6
42,96,46
92,141,39
68,168,18
10,174,43
37,144,50
88,272,25
90,113,20
74,119,2
9,253,7
68,130,22
80,209,38
5,141,43
83,113,0
8,186,11
36,111,29
89,294,23
5,221,24
12,140,35
100,155,1
57,280,23
21,100,36
59,234,15
48,63,18
39,172,48
24,231,42
68,6,45
7,59,25
8,100,26
4,31,34
72,59,49
85,3,43
60,60,50
30,43,6
56,207,39
63,133,49
25,68,46
64,148,40
30,189,24
30,239,42
39,130,25
51,237,4
21,1,45
77,164,1
52,62,24
97,185,38
81,11,33
92,180,2
48,146,48
13,4,43
22,244,10
38,275,35
49,117,48
85,140,2
34,250,24
89,172,15
89,213,11
80,63,21
77,107,45
39,62,1
18,256,38
27,3,10
4,174,18
1,86,15
44,130,39
93,14,1
75,250,28
81,105,43
55,9,50
90,92,35

Instance 2
capacity,1897
n,200
weight,value,count
41,98,25
32,19,34
76,151,44
97,125,30
71,6,42
90,35,9
39,220,36
22,42,6
64,263,14
72,187,18
68,200,33
59,48,2
55,69,21
80,274,5
75,151,14
57,124,43
47,196,7
68,190,10
15,185,45
18,78,48
27,253,12
81,173,1
49,52,43
2,55,27
94,296,50
17,239,49
49,210,8
90,136,18
63,183,5
46,6,17
75,271,48
89,48,27
52,13,42
57,289,50
96,41,23
16,227,31
89,60,8
50,194,3
92,129,10
83,3,28
25,146,46
25,60,26
30,31,45
46,18,39
29,111,44
78,265,44
44,142,27
20,50,1
46,245,7
10,299,36
95,278,7
88,106,19
18,144,37
78,142,40
20,31,31
96,166,28
95,24,1
16,106,43
71,143,35
10,3,36
90,134,31
26,167,44
63,161,34
90,104,47
75,261,2
70,188,36
32,150,4
38,125,36
48,206,18
28,215,41
21,199,4
72,277,5
44,76,5
23,278,17
29,170,41
37,277,7
57,199,18
5,166,33
27,159,24
30,267,41
35,13,42
98,62,46
63,147,2
84,257,10
18,267,19
17,283,46
4,291,18
60,130,34
50,297,11
55,23,27
23,267,29
91,158,18
94,254,2
45,16,30
98,205,9
71,93,28
18,97,9
37,25,39
57,281,10
14,65,23
55,87,40
11,223,47
42,103,17
62,87,15
91,235,33
28,18,20
53,9,26
25,43,45
44,243,19
60,155,9
11,170,5
88,26,38
38,102,41
38,147,17
26,222,42
43,89,2
96,38,3
74,129,44
12,118,48
38,45,5
84,140,33
4,194,21
21,290,31
5,175,18
60,86,40
2,168,12
16,205,13
53,289,49
96,183,46
63,238,46
19,42,36
12,109,26
46,228,46
7,98,24
35,200,29
77,250,45
61,235,47
43,49,40
20,10,9
70,86,31
13,137,32
78,65,17
37,180,46
56,146,30
44,162,1
11,22,11
24,270,19
10,282,18
92,192,37
28,215,25
94,80,49
74,145,22
2,221,26
18,252,34
98,195,2
87,59,36
91,11,43
36,29,23
89,95,36
37,186,45
50,74,21
8,224,30
13,195,29
34,204,24
8,211,38
92,99,14
55,37,22
76,287,13
61,152,11
25,124,7
4,65,10
69,192,9
53,281,33
2,220,50
17,37,7
54,94,47
59,120,13
54,44,28
64,181,41
66,92,25
87,31,6
49,90,46
23,70,26
89,92,28
