instance_file,n_items,capacity,total_weight,total_value,feasible,inference_time_ms,selected_items
instance_0000.npz,134,797,797,1009,1,3.954699990572408,"[6, 8, 15, 17, 26, 34, 56, 69, 74, 79, 80, 97, 99, 106, 119]"
instance_0001.npz,189,620,620,793,1,4.106399981537834,"[28, 35, 49, 55, 66, 68, 77, 85, 135, 142, 156]"
instance_0002.npz,170,574,574,719,1,3.410100005567074,"[1, 2, 38, 39, 61, 62, 72, 86, 96, 98, 111, 114, 132]"
instance_0003.npz,116,233,233,296,1,0.7068999984767288,"[29, 50, 89, 104, 106]"
instance_0004.npz,99,779,779,963,1,2.859800006262958,"[5, 6, 8, 16, 17, 22, 32, 34, 39, 41, 47, 49, 51, 67, 69, 84, 93]"
instance_0005.npz,97,688,688,850,1,2.5028999953065068,"[10, 11, 14, 23, 45, 47, 48, 49, 60, 61, 68, 83, 91]"
instance_0006.npz,159,535,535,680,1,2.618300000904128,"[9, 11, 38, 53, 75, 87, 108, 126, 128, 139]"
instance_0007.npz,193,210,210,270,1,0.9530000097583979,"[31, 45, 59, 89, 143]"
instance_0008.npz,93,536,536,672,1,1.6993999888654798,"[7, 11, 12, 15, 21, 45, 58, 59, 75, 77, 78]"
instance_0009.npz,126,465,465,591,1,1.787600020179525,"[20, 28, 30, 43, 60, 63, 87, 104]"
instance_0010.npz,169,628,628,800,1,3.660399990621954,"[39, 61, 65, 80, 85, 108, 134, 142, 151]"
instance_0011.npz,199,450,450,575,1,2.809900004649535,"[6, 86, 109, 141, 149, 151, 155]"
instance_0012.npz,167,675,675,858,1,4.095999989658594,"[17, 30, 62, 63, 68, 93, 114, 122, 130, 141, 150, 164]"
instance_0013.npz,133,374,374,475,1,1.5134999994188547,"[6, 9, 20, 26, 29, 56, 58, 84, 95]"
instance_0014.npz,129,248,248,318,1,0.8308000105898827,"[20, 48, 65, 71]"
instance_0015.npz,106,383,383,489,1,1.1864000116474926,"[2, 10, 11, 48, 61, 80, 82, 88, 96]"
instance_0016.npz,162,327,327,420,1,1.4398000203073025,"[11, 39, 41, 45, 81, 149]"
instance_0017.npz,108,312,312,389,1,0.9171999990940094,"[10, 36, 38, 72, 80, 81, 100]"
instance_0018.npz,101,712,712,883,1,2.5775999820325524,"[6, 12, 36, 48, 59, 66, 72, 73, 82, 88, 89, 93, 96]"
instance_0019.npz,116,387,386,488,1,1.3221999979577959,"[8, 25, 30, 34, 49, 58, 65, 112]"
instance_0020.npz,170,342,342,437,1,1.5739000227767974,"[13, 72, 97, 102]"
instance_0021.npz,95,407,407,511,1,1.1786000104621053,"[14, 19, 34, 42, 50, 78, 84, 93]"
instance_0022.npz,144,575,575,730,1,2.7289999998174608,"[0, 9, 11, 48, 50, 69, 79, 96, 107, 108, 124, 126]"
instance_0023.npz,87,329,329,416,1,0.7896999886725098,"[7, 11, 17, 25, 63]"
instance_0024.npz,80,423,423,538,1,1.0375999845564365,"[16, 25, 28, 48, 67, 69, 74, 79]"
instance_0025.npz,141,376,376,477,1,1.5017999976407737,"[20, 22, 26, 29, 32, 35, 37, 105, 113]"
instance_0026.npz,159,649,649,828,1,3.6896000092383474,"[33, 38, 45, 65, 66, 70, 94, 128, 129, 139, 142, 145]"
instance_0027.npz,156,339,339,434,1,1.4865999983157963,"[38, 52, 68, 94]"
instance_0028.npz,159,658,658,840,1,3.8004000089131296,"[2, 29, 32, 34, 53, 62, 87, 88, 97, 102, 104, 109]"
instance_0029.npz,182,708,708,897,1,4.565200011711568,"[0, 12, 34, 39, 51, 59, 61, 62, 68, 71, 84, 123, 137, 161, 164]"
instance_0030.npz,196,520,520,661,1,3.3933999948203564,"[3, 18, 37, 105, 138, 154, 172, 188]"
instance_0031.npz,172,255,255,326,1,1.0682000138331205,"[58, 91, 136]"
instance_0032.npz,162,276,276,354,1,1.1214000114705414,"[102, 109, 116]"
instance_0033.npz,117,505,505,644,1,1.9551999866962433,"[5, 6, 13, 36, 37, 39, 42, 69, 78]"
instance_0034.npz,195,667,667,843,1,4.337599995778874,"[2, 4, 10, 44, 49, 53, 109, 116, 118, 127, 144]"
instance_0035.npz,138,237,237,302,1,0.8554999949410558,"[6, 14, 28, 40, 48, 59, 61]"
instance_0036.npz,157,417,417,524,1,1.9521999929565936,"[3, 12, 24, 54, 81, 91, 95, 113, 125, 145]"
instance_0037.npz,91,208,208,264,1,0.45849999878555536,"[31, 33, 83, 85]"
instance_0038.npz,106,509,509,641,1,1.6667000018060207,"[1, 11, 31, 33, 44, 58, 71, 84, 90]"
instance_0039.npz,116,629,629,799,1,2.5345999747514725,"[1, 4, 7, 46, 51, 65, 67, 70, 89, 114, 115]"
instance_0040.npz,113,445,445,566,1,1.868599996669218,"[2, 16, 17, 19, 33, 61, 83, 94]"
instance_0041.npz,113,219,219,282,1,0.5850000015925616,"[16, 54, 71, 77]"
instance_0042.npz,118,631,631,787,1,2.6108000020030886,"[3, 12, 20, 21, 40, 46, 50, 74, 82, 84, 89, 91, 99]"
instance_0043.npz,127,298,298,380,1,1.0307999909855425,"[2, 27, 31, 32, 34, 35, 67]"
instance_0044.npz,113,494,494,629,1,1.7647999920882285,"[0, 7, 11, 20, 24, 44, 46, 65]"
instance_0045.npz,148,260,260,333,1,0.9400999988429248,"[34, 56, 72, 77, 89, 108, 137]"
instance_0046.npz,178,615,615,784,1,3.63729998935014,"[22, 58, 74, 77, 109, 111, 116, 137, 152, 167, 175]"
instance_0047.npz,112,555,555,703,1,2.3022000095807016,"[17, 29, 40, 55, 71, 75, 78, 91, 101, 104, 106]"
instance_0048.npz,190,597,597,763,1,3.8309999799821526,"[10, 44, 101, 120, 128, 136, 154, 173, 183]"
instance_0049.npz,150,601,601,754,1,3.14250000519678,"[12, 16, 28, 33, 34, 46, 58, 70, 108, 114, 130, 143]"
instance_0050.npz,170,776,776,974,1,4.658000019844621,"[11, 29, 54, 55, 61, 62, 74, 76, 83, 89, 91, 98, 109, 115, 131, 138]"
instance_0051.npz,94,761,761,941,1,2.740599971730262,"[0, 1, 6, 25, 29, 32, 35, 39, 41, 42, 45, 46, 47, 53, 56, 72]"
instance_0052.npz,139,235,235,301,1,0.7965000113472342,"[61, 76, 93, 100, 103]"
instance_0053.npz,171,563,563,713,1,3.353399981278926,"[0, 14, 23, 48, 49, 73, 74, 81, 97, 99, 110, 133, 162]"
instance_0054.npz,143,527,527,668,1,2.421900018816814,"[1, 29, 42, 44, 50, 79, 97, 101, 111, 121, 127]"
instance_0055.npz,173,318,318,406,1,1.524699997389689,"[11, 35, 47, 61, 75, 117]"
instance_0056.npz,136,604,604,769,1,2.818899985868484,"[7, 18, 31, 46, 59, 71, 72, 77, 95, 114, 116]"
instance_0057.npz,198,509,509,652,1,3.3650000113993883,"[1, 12, 18, 41, 54, 88, 108, 144]"
instance_0058.npz,164,732,732,937,1,4.392200004076585,"[7, 8, 24, 27, 35, 61, 85, 96, 107, 144, 163]"
instance_0059.npz,129,611,611,769,1,2.6514999917708337,"[10, 21, 26, 29, 44, 46, 67, 69, 70, 73, 112, 117]"
instance_0060.npz,123,637,637,789,1,2.6673999964259565,"[9, 21, 23, 26, 41, 45, 62, 68, 74, 97, 106, 108, 109, 114, 121]"
instance_0061.npz,167,467,467,589,1,2.585100010037422,"[8, 14, 77, 109, 122, 146, 157]"
instance_0062.npz,136,510,510,652,1,2.4575999996159226,"[2, 10, 19, 21, 28, 45, 58, 100, 105, 124]"
instance_0063.npz,146,284,284,363,1,1.111799996579066,"[16, 19, 22, 71, 86, 96]"
instance_0064.npz,116,232,232,297,1,0.6553999846801162,"[5, 32, 112]"
instance_0065.npz,97,277,277,345,1,0.6902000168338418,"[4, 5, 24, 53, 61]"
instance_0066.npz,190,583,583,738,1,3.660399990621954,"[5, 20, 26, 44, 72, 81, 127, 142, 175]"
instance_0067.npz,81,694,694,868,1,2.0825999963562936,"[3, 13, 15, 18, 22, 27, 32, 36, 38, 39, 48, 68, 75, 76]"
instance_0068.npz,86,335,335,425,1,0.8476000220980495,"[3, 8, 16, 21, 43, 46, 73, 84]"
instance_0069.npz,125,395,395,502,1,1.5756000066176057,"[6, 12, 24, 40, 47, 55, 62, 68, 91, 119]"
instance_0070.npz,183,557,557,710,1,4.077199992025271,"[0, 7, 22, 38, 49, 70, 131, 177]"
instance_0071.npz,97,739,739,921,1,2.6452000020071864,"[14, 18, 22, 47, 48, 67, 74, 84, 86, 90, 91, 94]"
instance_0072.npz,164,571,571,717,1,3.0636999872513115,"[22, 52, 53, 60, 61, 71, 72, 80, 104, 149, 156]"
instance_0073.npz,146,574,574,725,1,2.6948000013362616,"[1, 14, 20, 30, 67, 71, 85, 93, 127, 138]"
instance_0074.npz,85,229,229,291,1,0.5038999952375889,"[0, 22, 28, 49, 54]"
instance_0075.npz,88,692,692,878,1,2.347800007555634,"[15, 16, 23, 24, 62, 69, 70, 72, 73, 83, 87]"
instance_0076.npz,180,405,405,518,1,2.1124999911990017,"[5, 8, 24, 59, 69, 79, 167]"
instance_0077.npz,102,324,324,412,1,0.90819998877123,"[12, 20, 36, 49, 85, 95]"
instance_0078.npz,117,551,551,695,1,2.2290999768301845,"[21, 39, 65, 69, 74, 76, 88, 93, 99]"
instance_0079.npz,103,210,210,269,1,0.5836000200361013,"[52, 80, 85, 88]"
instance_0080.npz,92,349,349,439,1,0.9961000178009272,"[16, 58, 61, 63, 84]"
instance_0081.npz,80,707,707,876,1,2.175600006012246,"[4, 9, 12, 20, 29, 39, 46, 52, 53, 54, 56, 57, 59, 68]"
instance_0082.npz,191,472,472,605,1,3.2524999987799674,"[62, 70, 132, 146, 149, 151, 160, 174]"
instance_0083.npz,85,532,532,673,1,1.552900008391589,"[8, 13, 15, 17, 23, 27, 29, 36, 48, 69, 81]"
instance_0084.npz,173,412,412,530,1,2.2373000101651996,"[40, 45, 83, 95, 127, 172]"
instance_0085.npz,137,798,798,1007,1,3.8382000057026744,"[4, 8, 20, 21, 36, 41, 47, 53, 58, 82, 83, 95, 104, 111, 123, 135]"
instance_0086.npz,151,465,465,581,1,2.1866000024601817,"[25, 36, 40, 54, 78, 101, 117, 136]"
instance_0087.npz,198,451,451,576,1,2.969399996800348,"[1, 64, 93, 99, 100, 139, 167, 179]"
instance_0088.npz,107,434,434,542,1,1.5290000010281801,"[31, 34, 57, 62, 65, 67, 72, 73, 75]"
instance_0089.npz,169,475,475,602,1,2.528599987272173,"[3, 26, 52, 74, 83, 106, 149, 162]"
instance_0090.npz,92,365,365,462,1,0.981999997748062,"[7, 13, 14, 18, 28, 59, 61, 86]"
instance_0091.npz,98,325,325,414,1,0.8879000088199973,"[3, 62, 69, 77, 94]"
instance_0092.npz,190,800,800,1017,1,5.696100008208305,"[1, 21, 29, 41, 65, 95, 111, 113, 122, 133, 136, 140, 144, 146, 149, 154, 173, 184]"
instance_0093.npz,138,673,673,854,1,3.611600026488304,"[6, 17, 18, 34, 37, 66, 70, 79, 84, 128, 137]"
instance_0094.npz,181,754,754,951,1,4.644100001314655,"[6, 18, 29, 32, 39, 50, 57, 80, 111, 116, 120, 136, 155, 161]"
instance_0095.npz,107,732,732,917,1,2.804199990350753,"[5, 20, 28, 34, 38, 41, 46, 53, 54, 55, 64, 66, 95, 105]"
instance_0096.npz,86,200,200,255,1,0.42860000394284725,"[5, 13, 31, 64]"
instance_0097.npz,141,440,440,566,1,1.8771000031847507,"[4, 23, 31, 33, 65, 71, 140]"
instance_0098.npz,130,646,646,801,1,3.1786999898031354,"[17, 31, 33, 42, 49, 66, 73, 102, 108, 118, 120, 121, 123]"
instance_0099.npz,85,576,576,726,1,1.6231999907176942,"[6, 28, 47, 54, 56, 65, 71, 75]"
instance_0100.npz,85,325,325,400,1,0.7723000016994774,"[9, 10, 12, 16, 30, 66]"
instance_0101.npz,161,688,688,878,1,3.771699994103983,"[7, 19, 29, 41, 42, 46, 82, 84, 90, 116, 133, 142, 152]"
instance_0102.npz,85,477,477,590,1,1.2801999982912093,"[1, 4, 7, 12, 19, 31, 41, 62, 66]"
instance_0103.npz,120,551,551,695,1,2.3833000159356743,"[16, 19, 38, 49, 53, 67, 82, 86, 91, 108, 112]"
instance_0104.npz,104,553,553,687,1,2.0892999891657382,"[2, 26, 33, 40, 54, 56, 80, 82, 91, 96]"
instance_0105.npz,173,574,574,731,1,3.7269999738782644,"[39, 46, 53, 95, 119, 129, 130, 135, 138, 150]"
instance_0106.npz,185,447,447,569,1,2.536400017561391,"[26, 51, 65, 85, 97, 104, 148, 163]"
instance_0107.npz,183,619,619,785,1,3.6336999910417944,"[12, 15, 19, 33, 41, 43, 68, 102, 107, 137, 151, 175]"
instance_0108.npz,186,665,665,847,1,4.058399994391948,"[41, 43, 48, 75, 94, 114, 115, 134, 159, 167]"
instance_0109.npz,177,243,243,311,1,1.3982999953441322,"[23, 28, 84, 96, 112]"
instance_0110.npz,159,420,420,535,1,2.0938999950885773,"[16, 20, 26, 43, 44, 48, 100, 106]"
instance_0111.npz,84,434,434,555,1,1.121900015277788,"[7, 9, 12, 19, 43, 45, 61, 77]"
instance_0112.npz,145,230,230,294,1,0.8840000082273036,"[20, 26, 70, 87, 141]"
instance_0113.npz,187,461,461,591,1,2.659799996763468,"[9, 19, 20, 21, 56, 87, 116, 147, 150, 151]"
instance_0114.npz,110,242,242,310,1,0.6518999871332198,"[2, 4, 66, 71, 106, 109]"
instance_0115.npz,146,404,404,514,1,1.747400005115196,"[3, 21, 80, 99, 117, 119]"
instance_0116.npz,195,521,521,663,1,3.468900016741827,"[23, 39, 67, 102, 107, 110, 139, 153, 193]"
instance_0117.npz,129,416,416,530,1,1.670800003921613,"[33, 34, 37, 59, 94, 109, 111, 113]"
instance_0118.npz,112,268,268,343,1,0.7802000036463141,"[29, 73, 79, 84, 102, 106]"
instance_0119.npz,107,565,565,713,1,2.047999994829297,"[14, 29, 31, 48, 54, 84, 87, 88, 89, 102, 104]"
instance_0120.npz,191,694,694,881,1,4.4775000133086,"[15, 17, 18, 27, 28, 50, 52, 57, 66, 71, 106, 127, 149, 179]"
instance_0121.npz,162,684,684,861,1,3.946499986341223,"[3, 30, 58, 62, 77, 89, 91, 97, 107, 112, 140, 148]"
instance_0122.npz,129,287,287,362,1,1.0365000052843243,"[36, 53, 62, 69, 78, 106]"
instance_0123.npz,117,366,366,469,1,1.4107000024523586,"[1, 55, 60, 71, 77, 96]"
instance_0124.npz,100,526,526,656,1,1.740600011544302,"[3, 9, 14, 16, 22, 34, 41, 48, 60, 69, 82, 91]"
instance_0125.npz,188,250,250,320,1,1.2052000092808157,"[44, 105, 113, 120, 143, 158]"
instance_0126.npz,194,266,266,341,1,1.338200003374368,"[21, 62, 98, 102]"
instance_0127.npz,139,290,290,371,1,1.0901000059675425,"[8, 17, 31, 44, 66, 94]"
instance_0128.npz,91,669,669,829,1,2.188500016927719,"[4, 21, 39, 47, 52, 55, 58, 60, 65, 66, 71, 80, 88, 90]"
instance_0129.npz,120,321,321,410,1,1.078999979654327,"[17, 39, 55, 86, 87, 89]"
instance_0130.npz,153,340,340,432,1,2.0034000044688582,"[5, 28, 43, 51, 55, 76, 127]"
instance_0131.npz,95,298,298,375,1,0.7589000160805881,"[0, 3, 4, 17, 46, 58, 61, 87]"
instance_0132.npz,111,459,459,581,1,1.5550999960396439,"[28, 33, 49, 52, 67, 71, 88, 105, 108]"
instance_0133.npz,192,215,215,275,1,0.9579999896232039,"[22, 46, 48, 100, 103]"
instance_0134.npz,123,691,691,880,1,3.4241000248584896,"[2, 10, 12, 24, 37, 51, 61, 85, 98, 114, 115]"
instance_0135.npz,110,650,650,816,1,2.3680999875068665,"[16, 22, 36, 66, 70, 72, 84, 89, 106]"
instance_0136.npz,194,731,731,933,1,5.379900016123429,"[2, 18, 21, 28, 59, 70, 75, 90, 114, 121, 124, 139, 178, 179, 185]"
instance_0137.npz,96,317,317,404,1,0.904799991985783,"[16, 18, 42, 48, 51, 80]"
instance_0138.npz,194,691,691,882,1,5.1361000223550946,"[25, 26, 37, 45, 95, 98, 105, 109, 130, 166, 175, 181, 190]"
instance_0139.npz,187,220,220,281,1,1.0194999922532588,"[4, 7, 41, 140, 167]"
instance_0140.npz,97,653,653,810,1,2.317700011190027,"[3, 4, 12, 18, 39, 61, 62, 73, 75, 81, 88]"
instance_0141.npz,156,677,677,855,1,4.24330000532791,"[6, 22, 24, 25, 27, 45, 47, 48, 51, 53, 56, 88]"
instance_0142.npz,80,755,755,938,1,2.460199990309775,"[4, 10, 12, 14, 18, 20, 26, 38, 48, 55, 57, 58, 61, 70, 73, 78]"
instance_0143.npz,150,366,366,465,1,1.633200008654967,"[22, 44, 48, 60, 108, 125]"
instance_0144.npz,82,612,612,764,1,1.6957999905571342,"[2, 5, 13, 18, 21, 26, 27, 28, 32, 33, 34, 39, 71, 77]"
instance_0145.npz,158,750,750,955,1,4.462300013983622,"[3, 11, 12, 29, 32, 74, 82, 97, 103, 117, 131]"
