instance_file,n_items,capacity,dp_value,dp_weight,dp_feasible,dp_time_ms,gnn_value,gnn_weight,gnn_feasible,gnn_time_ms,gap_gnn,dqn_value,dqn_weight,dqn_feasible,dqn_time_ms,gap_dqn,dp_selected_items,gnn_selected_items,dqn_selected_items
instance_0000.npz,134,797.0,1009.0,797.0,1,3.954699990572408,1001.0,797.0,1,2.9941999819129705,0.007928642220019821,858.0,797.0,1,31.3305,0.14965312190287414,"[6, 8, 15, 17, 26, 34, 56, 69, 74, 79, 80, 97, 99, 106, 119]","[0, 6, 8, 15, 18, 28, 34, 47, 56, 69, 79, 97, 99, 119, 121]","[0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 31, 106]"
instance_0001.npz,189,620.0,793.0,620.0,1,4.106399981537834,784.0,620.0,1,2.6673999964259565,0.011349306431273645,633.0,620.0,1,28.31929998,0.201765447667087,"[28, 35, 49, 55, 66, 68, 77, 85, 135, 142, 156]","[35, 48, 55, 66, 68, 77, 83, 94, 95, 121, 129, 135, 142, 158, 165, 167, 185]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 13, 19, 22]"
instance_0002.npz,170,574.0,719.0,574.0,1,3.410100005567074,706.0,574.0,1,2.311599993845448,0.01808066759388039,581.0,574.0,1,29.48570001,0.19193324061196107,"[1, 2, 38, 39, 61, 62, 72, 86, 96, 98, 111, 114, 132]","[1, 2, 30, 38, 39, 61, 62, 69, 72, 86, 89, 96, 111, 114, 168]","[0, 1, 2, 4, 6, 11, 12, 14, 25, 31]"
instance_0003.npz,116,233.0,296.0,233.0,1,0.7068999984767288,287.0,232.0,1,2.073299983749166,0.030405405405405407,239.0,233.0,1,17.55369999,0.19256756756756757,"[29, 50, 89, 104, 106]","[28, 32, 48, 73, 89, 106, 113]","[0, 2, 15, 28]"
instance_0004.npz,99,779.0,963.0,779.0,1,2.859800006262958,949.0,778.0,1,2.0296000002417713,0.014537902388369679,811.0,778.0,1,14.5013,0.15784008307372793,"[5, 6, 8, 16, 17, 22, 32, 34, 39, 41, 47, 49, 51, 67, 69, 84, 93]","[5, 6, 16, 29, 34, 39, 41, 45, 49, 58, 67, 69, 77, 93]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 17, 29, 35]"
instance_0005.npz,97,688.0,850.0,688.0,1,2.5028999953065068,840.0,687.0,1,1.9963000086136162,0.011764705882352941,744.0,687.0,1,15.2046,0.12470588235294118,"[10, 11, 14, 23, 45, 47, 48, 49, 60, 61, 68, 83, 91]","[5, 6, 10, 13, 14, 23, 45, 47, 48, 49, 51, 60, 61, 67, 68, 83, 84, 91]","[0, 1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 15, 24]"
instance_0006.npz,159,535.0,680.0,535.0,1,2.618300000904128,665.0,535.0,1,2.2683000133838505,0.022058823529411766,577.0,534.0,1,23.71849999,0.1514705882352941,"[9, 11, 38, 53, 75, 87, 108, 126, 128, 139]","[9, 19, 31, 38, 44, 126, 131, 139, 154]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 19, 23]"
instance_0007.npz,193,210.0,270.0,210.0,1,0.9530000097583979,264.0,210.0,1,2.5081999774556607,0.022222222222222223,240.0,210.0,1,29.1597,0.1111111111111111,"[31, 45, 59, 89, 143]","[30, 31, 45, 51, 79, 94, 147, 157]","[0, 3, 14, 17, 30, 31]"
instance_0008.npz,93,536.0,672.0,536.0,1,1.6993999888654798,652.0,535.0,1,1.8112999969162047,0.02976190476190476,548.0,535.0,1,14.0162,0.18452380952380953,"[7, 11, 12, 15, 21, 45, 58, 59, 75, 77, 78]","[11, 14, 21, 23, 37, 45, 50, 53, 61, 65, 75, 77, 86]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 19, 37]"
instance_0009.npz,126,465.0,591.0,465.0,1,1.787600020179525,585.0,465.0,1,2.6843999803531915,0.01015228426395939,492.0,464.0,1,17.6887,0.16751269035532995,"[20, 28, 30, 43, 60, 63, 87, 104]","[8, 20, 32, 43, 60, 63, 71, 84, 104, 110, 112]","[0, 1, 2, 3, 9, 14, 18, 23]"
